president,subgroup,pollster,sponsors,startdate,enddate,samplesize,population,weight,influence,tracking,approve,disapprove,net,adjusted_approve,adjusted_disapprove,adjusted_net,url,createddate,timestamp
Donald Trump (2nd term),Economy,YouGov,Yahoo News,3/12/2026,3/12/2026,1699, A,0.6468318,0.123235,,32,61,-29,33.04517,61.3217,-28.27653,https://www.yahoo.com/news/politics/article/poll-66-of-americans-disapprove-of-trump-on-gas-prices-as-they-feel-effects-of-iran-war-120000483.html,3/12/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Strong,YouGov,Economist,3/13/2026,3/16/2026,1595, A,0.5103129,0.1225991,,20,48,-28,22.03222,47.00601,-24.97379,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CwWXhS2.pdf,3/16/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Weak,YouGov,Economist,3/13/2026,3/16/2026,1595, A,0.5103129,0.1225991,,17,7,10,16.72152,7.204475,9.517044,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CwWXhS2.pdf,3/16/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Adults,YouGov,Economist,3/13/2026,3/16/2026,1595, A,0.5005448,0.1222175,,37,56,-19,37.06847,55.53004,-18.46157,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CwWXhS2.pdf,3/16/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/25/2026,3/31/2026,1500, LV,0.1256047,0.1179944,TRUE,45,53,-8,41.45343,54.72619,-13.27276,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/31/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/25/2026,3/31/2026,1500, LV,0.1256047,0.1179944,TRUE,45,53,-8,42.22636,54.55544,-12.32908,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/31/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Strong,Focaldata,,3/6/2026,3/10/2026,1782, A,1.132904,0.1168716,,19,39,-20,21.24925,41.40773,-20.15848,https://www.focaldata.com/blog/democrats-increase-lead-and-rubio-stock-surges-amid-iran-war,3/10/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),All polls,Focaldata,,3/6/2026,3/10/2026,1782, A,1.132904,0.1168716,,37,51,-14,38.97346,52.6171,-13.64364,https://www.focaldata.com/blog/democrats-increase-lead-and-rubio-stock-surges-amid-iran-war,3/10/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Adults,Focaldata,,3/6/2026,3/10/2026,1782, A,1.132904,0.1168716,,37,51,-14,37.91888,52.94642,-15.02754,https://www.focaldata.com/blog/democrats-increase-lead-and-rubio-stock-surges-amid-iran-war,3/10/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),Weak,Focaldata,,3/6/2026,3/10/2026,1782, A,1.132904,0.1168716,,18,11,7,17.93274,10.50353,7.42921,https://www.focaldata.com/blog/democrats-increase-lead-and-rubio-stock-surges-amid-iran-war,3/10/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Economy,Quinnipiac University,,3/6/2026,3/8/2026,1002, RV,1.159952,0.1162488,,39,58,-19,39.51713,57.48076,-17.96363,https://poll.qu.edu/poll-release?releaseid=3952,3/8/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Voters,Focaldata,,3/6/2026,3/10/2026,1534, RV,1.097865,0.1134601,,39,51,-12,39.99074,51.81018,-11.81944,https://www.focaldata.com/blog/democrats-increase-lead-and-rubio-stock-surges-amid-iran-war,3/10/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Immigration,Angus Reid Global,,3/2/2026,3/5/2026,1529, A,1.507068,0.1134352,,40.5,49.5,-9,41.07691,50.38634,-9.309433,https://angusreid.org/tariffs-trade-trump-maga-canada-uscma-nafta-carney/,3/5/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Trade,Angus Reid Global,,3/2/2026,3/5/2026,1529, A,1.507068,0.1134352,,30,57,-27,31.72489,56.62009,-24.8952,https://angusreid.org/tariffs-trade-trump-maga-canada-uscma-nafta-carney/,3/5/2026,16:01:27  2 Apr 2026
Donald Trump (2nd term),Adults,YouGov,Yahoo News,3/12/2026,3/16/2026,1699, A,0.515212,0.1120492,,38,59,-21,38.06847,58.53004,-20.46157,https://www.yahoo.com/news/politics/article/poll-66-of-americans-disapprove-of-trump-on-gas-prices-as-they-feel-effects-of-iran-war-120000483.html,3/16/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),All polls,YouGov,Economist,3/13/2026,3/16/2026,1595, A,0.4490124,0.1104603,,37,56,-19,38.59466,54.74012,-16.14546,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_CwWXhS2.pdf,3/16/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,Rasmussen Reports,,3/8/2026,3/12/2026,1845, LV,0.8484579,0.1092995,,14,9,5,15.21883,9.673255,5.545575,https://www.rasmussenreports.com/platinum/full_week_crosstabs/crosstabs_full_week_crosstabs_march_8_12_2026,3/12/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Strong,Rasmussen Reports,,3/8/2026,3/12/2026,1845, LV,0.8484579,0.1092995,,30,45,-15,25.62962,46.40892,-20.7793,https://www.rasmussenreports.com/platinum/full_week_crosstabs/crosstabs_full_week_crosstabs_march_8_12_2026,3/12/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Strong,OH Predictive Insights,Center Square,3/2/2026,3/5/2026,2659, RV,1.689161,0.1089781,,27,41,-14,26.77226,41.71872,-14.94646,https://www.thecentersquare.com/national/article_c3795c17-be14-4566-a625-eb38b4ffc1bf.html,3/5/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Voters,OH Predictive Insights,Center Square,3/2/2026,3/5/2026,2659, RV,1.689161,0.1089781,,46,52,-6,45.27605,52.40748,-7.131428,https://www.thecentersquare.com/national/article_c3795c17-be14-4566-a625-eb38b4ffc1bf.html,3/5/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Weak,OH Predictive Insights,Center Square,3/2/2026,3/5/2026,2659, RV,1.689161,0.1089781,,19,10,9,16.55414,8.605976,7.948164,https://www.thecentersquare.com/national/article_c3795c17-be14-4566-a625-eb38b4ffc1bf.html,3/5/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),All polls,OH Predictive Insights,Center Square,3/2/2026,3/5/2026,2659, RV,1.689161,0.1089781,,46,52,-6,44.70493,52.60075,-7.895821,https://www.thecentersquare.com/national/article_c3795c17-be14-4566-a625-eb38b4ffc1bf.html,3/5/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/24/2026,3/30/2026,1500, LV,0.1236695,0.1086388,TRUE,44,54,-10,41.22636,55.55544,-14.32908,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/30/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/24/2026,3/30/2026,1500, LV,0.1236695,0.1086388,TRUE,44,54,-10,40.45343,55.72619,-15.27276,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/30/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Adults,Morning Consult,,3/2/2026,3/8/2026,32968, A,1.504519,0.1079186,TRUE,39,55,-16,37.20191,57.75186,-20.54995,https://pro.morningconsult.com/trackers/global-leader-approval,3/8/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),All polls,Quinnipiac University,,3/6/2026,3/8/2026,1002, RV,1.159952,0.1046239,,37,57,-20,39.29878,56.33346,-17.03468,https://poll.qu.edu/poll-release?releaseid=3952,3/8/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Strong,Quinnipiac University,,3/6/2026,3/8/2026,1002, RV,1.159952,0.1046239,,30,50,-20,27.41897,47.10725,-19.68828,https://poll.qu.edu/poll-release?releaseid=3952,3/8/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Voters,Quinnipiac University,,3/6/2026,3/8/2026,1002, RV,1.159952,0.1046239,,37,57,-20,39.80436,56.13512,-16.33076,https://poll.qu.edu/poll-release?releaseid=3952,3/8/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Weak,Quinnipiac University,,3/6/2026,3/8/2026,1002, RV,1.159952,0.1046239,,7,6,1,12.18227,8.737482,3.444788,https://poll.qu.edu/poll-release?releaseid=3952,3/8/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),All polls,YouGov,Yahoo News,3/12/2026,3/16/2026,1699, A,0.4575976,0.1008233,,38,59,-21,39.59466,57.74012,-18.14546,https://www.yahoo.com/news/politics/article/poll-66-of-americans-disapprove-of-trump-on-gas-prices-as-they-feel-effects-of-iran-war-120000483.html,3/16/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,YouGov,Yahoo News,3/12/2026,3/12/2026,1148, RV,0.5737979,0.0991279,,40,58,-18,40.48236,57.03912,-16.55676,https://www.yahoo.com/news/politics/article/poll-66-of-americans-disapprove-of-trump-on-gas-prices-as-they-feel-effects-of-iran-war-120000483.html,3/12/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Immigration,Marist College,NPR | PBS News,3/2/2026,3/4/2026,1591, A,1.528996,0.0986449,,40,57,-17,41.10869,55.74788,-14.63919,https://maristpoll.marist.edu/wp-content/uploads/2026/03/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202603091024.pdf,3/4/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Economy,Marist College,NPR | PBS News,3/2/2026,3/4/2026,1591, A,1.528996,0.0986449,,35,58,-23,36.52318,57.56067,-21.03749,https://maristpoll.marist.edu/wp-content/uploads/2026/03/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202603091024.pdf,3/4/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Voters,OnMessage Inc.,,3/2/2026,3/3/2026,1800, LV,1.833744,0.0985884,,45,54,-9,44.32376,53.77394,-9.45018,https://www.politico.com/newsletters/playbook/2026/03/04/republicans-tee-off-on-talarico-00811469,3/3/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,OnMessage Inc.,,3/2/2026,3/3/2026,1800, LV,1.833744,0.0985884,,45,54,-9,43.9366,53.85307,-9.91647,https://www.politico.com/newsletters/playbook/2026/03/04/republicans-tee-off-on-talarico-00811469,3/3/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Cost,Clarity Campaign Labs,,2/26/2026,3/7/2026,1004, LV,1.115124,0.0959247,,35,58,-23,34.91784,57.56659,-22.64875,https://www.claritycampaigns.com/clarity-omnibus-2026-mar,3/7/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),All polls,Morning Consult,,3/13/2026,3/16/2026,2201, RV,0.4568293,0.0949828,,43,54,-11,41.40576,55.55352,-14.14776,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/16/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/13/2026,3/19/2026,1500, LV,0.3420121,0.0900038,TRUE,45,54,-9,42.22636,55.55544,-13.32908,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/19/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/13/2026,3/19/2026,1500, LV,0.3420121,0.0900038,TRUE,45,54,-9,41.45343,55.72619,-14.27276,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/19/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Cost,YouGov,Economist,3/6/2026,3/9/2026,1563, A,0.6272312,0.0893713,,33,62,-29,33.50546,61.67575,-28.17029,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EcCnfRV.pdf,3/9/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Cost,Hart Research Associates/Public Opinion Strategies,NBC News,2/27/2026,3/3/2026,1000, RV,1.378276,0.088921,,36,62,-26,35.91747,60.62654,-24.70907,https://www.nbcnews.com/politics/2026-election/poll-trump-struggles-immigration-prices-iran-democrats-midterm-edge-rcna261861,3/3/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Strong,YouGov,Yahoo News,3/12/2026,3/12/2026,1699, A,0.5292209,0.0855953,,22,47,-25,24.03222,46.00601,-21.97379,https://www.yahoo.com/news/politics/article/poll-66-of-americans-disapprove-of-trump-on-gas-prices-as-they-feel-effects-of-iran-war-120000483.html,3/12/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Weak,YouGov,Yahoo News,3/12/2026,3/12/2026,1699, A,0.5292209,0.0855953,,17,12,5,16.72152,12.20448,4.517039,https://www.yahoo.com/news/politics/article/poll-66-of-americans-disapprove-of-trump-on-gas-prices-as-they-feel-effects-of-iran-war-120000483.html,3/12/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),All polls,Marist College,NPR | PBS News,3/2/2026,3/4/2026,1591, A,1.528996,0.0822041,,38,57,-19,39.40246,56.60146,-17.199,https://maristpoll.marist.edu/wp-content/uploads/2026/03/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202603091024.pdf,3/4/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Adults,Marist College,NPR | PBS News,3/2/2026,3/4/2026,1591, A,1.528996,0.0822041,,38,57,-19,38.38964,57.03479,-18.64515,https://maristpoll.marist.edu/wp-content/uploads/2026/03/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202603091024.pdf,3/4/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),Weak,Marist College,NPR | PBS News,3/2/2026,3/4/2026,1591, A,1.528996,0.0822041,,12,7,5,14.47127,8.34703,6.12424,https://maristpoll.marist.edu/wp-content/uploads/2026/03/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202603091024.pdf,3/4/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Strong,Marist College,NPR | PBS News,3/2/2026,3/4/2026,1591, A,1.528996,0.0822041,,26,50,-24,25.26497,48.44204,-23.17707,https://maristpoll.marist.edu/wp-content/uploads/2026/03/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202603091024.pdf,3/4/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Voters,Marist College,NPR | PBS News,3/2/2026,3/4/2026,1392, RV,1.469719,0.0790171,,40,57,-17,41.35279,56.07196,-14.71917,https://maristpoll.marist.edu/wp-content/uploads/2026/03/NPR_PBS-News_Marist-Poll_USA-NOS-and-Tables_202603091024.pdf,3/4/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Strong,Angus Reid Global,,3/2/2026,3/5/2026,1529, A,1.227905,0.0788357,,19,46,-27,21.5615,45.95159,-24.39009,https://angusreid.org/tariffs-trade-trump-maga-canada-uscma-nafta-carney/,3/5/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Adults,Angus Reid Global,,3/2/2026,3/5/2026,1529, A,1.227905,0.0788357,,36,56,-20,36.96979,55.967,-18.99721,https://angusreid.org/tariffs-trade-trump-maga-canada-uscma-nafta-carney/,3/5/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),All polls,Angus Reid Global,,3/2/2026,3/5/2026,1529, A,1.227905,0.0788357,,36,56,-20,38.14145,55.34366,-17.20221,https://angusreid.org/tariffs-trade-trump-maga-canada-uscma-nafta-carney/,3/5/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,Angus Reid Global,,3/2/2026,3/5/2026,1529, A,1.227905,0.0788357,,17,10,7,16.45576,9.530239,6.92552,https://angusreid.org/tariffs-trade-trump-maga-canada-uscma-nafta-carney/,3/5/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Immigration,Clarity Campaign Labs,,2/26/2026,3/7/2026,1004, LV,1.115124,0.0719435,,45,49,-4,44.32978,50.04365,-5.713871,https://www.claritycampaigns.com/clarity-omnibus-2026-mar,3/7/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Economy,Clarity Campaign Labs,,2/26/2026,3/7/2026,1004, LV,1.115124,0.0719435,,42,52,-10,41.1089,53.50155,-12.39265,https://www.claritycampaigns.com/clarity-omnibus-2026-mar,3/7/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),All polls,YouGov,Yahoo News,3/12/2026,3/12/2026,1148, RV,0.4024714,0.0667634,,40,58,-18,41.59466,56.74012,-15.14546,https://www.yahoo.com/news/politics/article/poll-66-of-americans-disapprove-of-trump-on-gas-prices-as-they-feel-effects-of-iran-war-120000483.html,3/12/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/19/2026,3/25/2026,1500, LV,0.1158234,0.0659519,TRUE,44,55,-11,41.22636,56.55544,-15.32908,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/25/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/19/2026,3/25/2026,1500, LV,0.1158234,0.0659519,TRUE,44,55,-11,40.45343,56.72619,-16.27276,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/25/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Adults,Schoen Cooperman Research,Israel On Campus Coalition,3/2/2026,3/5/2026,800, A,0.9820397,0.0633574,,39,54,-15,37.89146,55.35679,-17.46533,https://www.yahoo.com/news/articles/opinion-polls-shows-us-divided-123000470.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubnl0aW1lcy5jb20v&guce_referrer_sig=AQAAAGGDbEo3bUcg4gmRqn8sAnsx3uCQASRDbnnW82E226HoXcyNnETJet-htwwtltwzIQpHUS5linPg89BH7bo4foTQEk1R2ClTgeRyNcUAkE_4F2zC8kCS4V5ndqZmYVdE6apTjsZDJE-sCSwme-BDLzrWmh_J5DUVprIFviNgLHKS,3/5/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),Weak,Schoen Cooperman Research,Israel On Campus Coalition,3/2/2026,3/5/2026,800, A,0.9820397,0.0633574,,17,10,7,15.83829,9.929708,5.908583,https://www.yahoo.com/news/articles/opinion-polls-shows-us-divided-123000470.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubnl0aW1lcy5jb20v&guce_referrer_sig=AQAAAGGDbEo3bUcg4gmRqn8sAnsx3uCQASRDbnnW82E226HoXcyNnETJet-htwwtltwzIQpHUS5linPg89BH7bo4foTQEk1R2ClTgeRyNcUAkE_4F2zC8kCS4V5ndqZmYVdE6apTjsZDJE-sCSwme-BDLzrWmh_J5DUVprIFviNgLHKS,3/5/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Strong,Schoen Cooperman Research,Israel On Campus Coalition,3/2/2026,3/5/2026,800, A,0.9820397,0.0633574,,22,44,-22,22.89882,45.39608,-22.49726,https://www.yahoo.com/news/articles/opinion-polls-shows-us-divided-123000470.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubnl0aW1lcy5jb20v&guce_referrer_sig=AQAAAGGDbEo3bUcg4gmRqn8sAnsx3uCQASRDbnnW82E226HoXcyNnETJet-htwwtltwzIQpHUS5linPg89BH7bo4foTQEk1R2ClTgeRyNcUAkE_4F2zC8kCS4V5ndqZmYVdE6apTjsZDJE-sCSwme-BDLzrWmh_J5DUVprIFviNgLHKS,3/5/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),All polls,Schoen Cooperman Research,Israel On Campus Coalition,3/2/2026,3/5/2026,800, A,0.9820397,0.0633574,,39,54,-15,38.86887,54.89214,-16.02327,https://www.yahoo.com/news/articles/opinion-polls-shows-us-divided-123000470.html?guccounter=1&guce_referrer=aHR0cHM6Ly93d3cubnl0aW1lcy5jb20v&guce_referrer_sig=AQAAAGGDbEo3bUcg4gmRqn8sAnsx3uCQASRDbnnW82E226HoXcyNnETJet-htwwtltwzIQpHUS5linPg89BH7bo4foTQEk1R2ClTgeRyNcUAkE_4F2zC8kCS4V5ndqZmYVdE6apTjsZDJE-sCSwme-BDLzrWmh_J5DUVprIFviNgLHKS,3/5/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Immigration,YouGov,Economist,3/6/2026,3/9/2026,1563, A,0.6372359,0.062999,,45,52,-7,45.17162,51.86853,-6.696911,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EcCnfRV.pdf,3/9/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Economy,YouGov,Economist,3/6/2026,3/9/2026,1563, A,0.6231408,0.0609526,,37,58,-21,38.04517,58.3217,-20.27653,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EcCnfRV.pdf,3/9/2026,16:01:18  2 Apr 2026
Donald Trump (2nd term),Weak,Angus Reid Global,,3/2/2026,3/4/2026,1215, A,1.12125,0.0599616,,17,10,7,16.45576,9.530239,6.92552,https://angusreid.org/iran-us-polling-war-invasion-israel-trump/,3/4/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Adults,Angus Reid Global,,3/2/2026,3/4/2026,1215, A,1.12125,0.0599616,,35,58,-23,35.96979,57.967,-21.99721,https://angusreid.org/iran-us-polling-war-invasion-israel-trump/,3/4/2026,16:00:59  2 Apr 2026
Donald Trump (2nd term),All polls,Angus Reid Global,,3/2/2026,3/4/2026,1215, A,1.12125,0.0599616,,35,58,-23,37.14145,57.34366,-20.20221,https://angusreid.org/iran-us-polling-war-invasion-israel-trump/,3/4/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Strong,Angus Reid Global,,3/2/2026,3/4/2026,1215, A,1.12125,0.0599616,,19,48,-29,21.5615,47.95159,-26.39009,https://angusreid.org/iran-us-polling-war-invasion-israel-trump/,3/4/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),All polls,Clarity Campaign Labs,,2/26/2026,3/7/2026,1004, LV,1.115124,0.0599529,,43,53,-10,41.92825,53.82493,-11.89668,https://www.claritycampaigns.com/clarity-omnibus-2026-mar,3/7/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Weak,Clarity Campaign Labs,,2/26/2026,3/7/2026,1004, LV,1.115124,0.0599529,,17,9,8,15.93991,9.061974,6.877936,https://www.claritycampaigns.com/clarity-omnibus-2026-mar,3/7/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),Strong,Clarity Campaign Labs,,2/26/2026,3/7/2026,1004, LV,1.115124,0.0599529,,26,44,-18,26.03801,44.95014,-18.91213,https://www.claritycampaigns.com/clarity-omnibus-2026-mar,3/7/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),Voters,Clarity Campaign Labs,,2/26/2026,3/7/2026,1004, LV,1.115124,0.0599529,,43,53,-10,42.42551,53.63564,-11.21013,https://www.claritycampaigns.com/clarity-omnibus-2026-mar,3/7/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Immigration,Hart Research Associates/Public Opinion Strategies,NBC News,2/27/2026,3/3/2026,1000, RV,1.378276,0.0592807,,44,54,-10,42.82425,54.2755,-11.45125,https://www.nbcnews.com/politics/2026-election/poll-trump-struggles-immigration-prices-iran-democrats-midterm-edge-rcna261861,3/3/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/18/2026,3/24/2026,1500, LV,0.115623,0.0584398,TRUE,43,56,-13,39.45343,57.72619,-18.27276,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/24/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/18/2026,3/24/2026,1500, LV,0.115623,0.0584398,TRUE,43,56,-13,40.22636,57.55544,-17.32908,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/24/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Weak,RMG Research,Napolitan News Service,3/4/2026,3/12/2026,3000, RV,0.7151857,0.0570972,,21,10,11,17.45852,9.552331,7.90619,https://napolitannews.org/jobapproval,3/12/2026,16:01:12  2 Apr 2026
Donald Trump (2nd term),All polls,RMG Research,Napolitan News Service,3/4/2026,3/12/2026,3000, RV,0.7151857,0.0570972,,45,53,-8,40.58654,55.83046,-15.24392,https://napolitannews.org/jobapproval,3/12/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,RMG Research,Napolitan News Service,3/4/2026,3/12/2026,3000, RV,0.7151857,0.0570972,,45,53,-8,41.321,55.65636,-14.33536,https://napolitannews.org/jobapproval,3/12/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Strong,RMG Research,Napolitan News Service,3/4/2026,3/12/2026,3000, RV,0.7151857,0.0570972,,24,43,-19,23.33673,46.71667,-23.37994,https://napolitannews.org/jobapproval,3/12/2026,16:01:04  2 Apr 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/17/2026,3/23/2026,1500, LV,0.1158774,0.0509993,TRUE,44,55,-11,40.45343,56.72619,-16.27276,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/23/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/17/2026,3/23/2026,1500, LV,0.1158774,0.0509993,TRUE,44,55,-11,41.22636,56.55544,-15.32908,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/23/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),All polls,Morning Consult,,3/2/2026,3/8/2026,32968, A,0.8955976,0.0508843,TRUE,39,55,-16,37.40576,56.55352,-19.14776,https://pro.morningconsult.com/trackers/global-leader-approval,3/8/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),All polls,Rasmussen Reports,,3/16/2026,3/20/2026,1500, LV,0.1625369,0.0501775,TRUE,45,54,-9,41.45343,55.72619,-14.27276,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/20/2026,16:00:37  2 Apr 2026
Donald Trump (2nd term),Voters,Rasmussen Reports,,3/16/2026,3/20/2026,1500, LV,0.1625369,0.0501775,TRUE,45,54,-9,42.22636,55.55544,-13.32908,https://www.rasmussenreports.com/public_content/politics/trump_administration_second_term/trump_approval_index_history_second_term#google_vignette,3/20/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Voters,YouGov,Economist,3/6/2026,3/9/2026,1405, RV,0.624922,0.0478065,,43,54,-11,43.48236,53.03912,-9.556759,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_EcCnfRV.pdf,3/9/2026,16:00:51  2 Apr 2026
Donald Trump (2nd term),Cost,Ipsos,Reuters,2/28/2026,3/1/2026,1282, A,0.9505742,0.0476062,,29,64.5,-35.5,32.55836,64.03588,-31.47752,https://www.ipsos.com/en-us/more-americans-disapprove-approve-us-strikes-against-iran,3/1/2026,16:01:25  2 Apr 2026
Donald Trump (2nd term),Immigration,Morning Consult,,3/6/2026,3/8/2026,2002, RV,0.6544286,0.0464524,,48,46,2,44.67538,51.39907,-6.72369,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/8/2026,16:01:22  2 Apr 2026
Donald Trump (2nd term),Trade,Morning Consult,,3/6/2026,3/8/2026,2002, RV,0.6544286,0.0464524,,44,47,-3,39.48343,54.38507,-14.90164,https://pro.morningconsult.com/trackers/donald-trump-congress-policy-republicans-polling,3/8/2026,16:01:27  2 Apr 2026
